path,text
/content/bismillah-audio-files-only/bismillah_001.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_002.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_003.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_004.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_005.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_006.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_007.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_008.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_009.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_010.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_011.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_012.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_013.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_014.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_015.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_016.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_017.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_018.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_019.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_020.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_021.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_022.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_023.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_024.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_025.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_026.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_027.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_028.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_029.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_030.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_031.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_032.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_033.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_034.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_035.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_036.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_037.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_038.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_039.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_040.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_041.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_042.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_043.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_044.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_045.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_046.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_047.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_048.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
/content/bismillah-audio-files-only/bismillah_049.wav,بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ
